	domain	phylum	class	order	family	genus	species
ASV_114	Bacteria	NA	NA	NA	NA	NA	NA
ASV_115	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98 freshwater group	NA
ASV_116	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	F1-37X2	NA
ASV_117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_118	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA
ASV_119	Bacteria	NA	NA	NA	NA	NA	NA
ASV_120	Bacteria	NA	NA	NA	NA	NA	NA
ASV_121	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV_122	NA	NA	NA	NA	NA	NA	NA
ASV_123	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_124	NA	NA	NA	NA	NA	NA	NA
ASV_125	Bacteria	NA	NA	NA	NA	NA	NA
ASV_126	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_127	NA	NA	NA	NA	NA	NA	NA
ASV_128	NA	NA	NA	NA	NA	NA	NA
ASV_129	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Indibacter	NA
ASV_130	NA	NA	NA	NA	NA	NA	NA
ASV_131	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_132	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis	NA
ASV_133	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_134	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_135	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_136	Bacteria	NA	NA	NA	NA	NA	NA
ASV_137	Bacteria	Firmicutes	Clostridia	NA	Hungateiclostridiaceae	NA	NA
ASV_138	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_139	NA	NA	NA	NA	NA	NA	NA
ASV_140	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_141	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98 freshwater group	NA
ASV_142	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_143	Bacteria	NA	NA	NA	NA	NA	NA
ASV_144	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_145	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
